OBJECTID,id,grid_4ha_id,lon,lat,lp_ext_2012,lp_ext_2015,lp_ext_2018,lp_ext_2022,du_cnt_2012,du_cnt_2015,du_cnt_2018,du_cnt_2022,clq_ext_sqm_2012,clq_ext_sqm_2015,clq_ext_sqm_2018,clq_ext_sqm_2022,mlt_ext_sqm_2012,mlt_ext_sqm_2015,mlt_ext_sqm_2018,mlt_ext_sqm_2022,sq_ext_sqm_2012,sq_ext_sqm_2015,sq_ext_sqm_2018,sq_ext_sqm_2022,du_cnt_w_clq_mlt_2012,du_cnt_w_clq_mlt_2015,du_cnt_w_clq_mlt_2018,du_cnt_w_clq_mlt_2022,dens_grs_duha_2012,dens_grs_duha_2015,dens_grs_duha_2018,dens_grs_duha_2022,d_dens_grs_duha_12_15,d_dens_grs_duha_12_18,d_dens_grs_duha_12_22,d_dens_grs_duha_15_18,d_dens_grs_duha_15_22,d_dens_grs_duha_18_22,DISTRICTNA,Shape_Length,Shape_Area
144,17130,W40A_12_00144,18.47504386,-34.34720336,0,0,3737398.016,3737398.016,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,Southern,799.9999582,39999.99582
1060,16766,W59C_10_01060,18.40151159,-34.29458096,58381.17735,58381.17735,58381.17735,58381.17735,4,4,4,4,0,0,0,0,0,0,0,0,16,16,0,0,4,4,4,4,1,1,1,1,0,0,0,0,0,0,Southern,799.9999883,39999.99883
1300,17157,W59D_05_01300,18.45587673,-34.28581973,3723191.862,3723191.862,3723191.862,3723191.862,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
1954,8296,W49A_16_01954,18.46470213,-34.26422317,535.754642,535.754642,535.754642,535.754642,10,9,9,10,0,0,0,25,0,0,0,0,0,0,0,0,10,9,9,11.25,2,2,2,2,0,0,0,0,0,0,Southern,800.0000185,40000.00185
1955,8295,W49A_16_01955,18.46687364,-34.26423263,831.2259095,831.2259095,831.2259095,831.2259095,14,15,15,14,6,6,6,6,0,0,0,0,0,0,0,0,14.3,15.3,15.3,14.3,3,3,3,3,0,0,0,0,0,0,Southern,799.9999883,39999.99883
2020,15104,W49A_11_02020,18.46688502,-34.26242973,642.3643409,642.3643409,642.3643409,642.3643409,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,1,0,0,1,0,1,1,Southern,799.9999883,39999.99883
2152,16361,W49A_12_02152,18.47125052,-34.25884272,288230.0609,288230.0609,288230.0609,288230.0609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,799.9999883,39999.99883
2210,16359,W59B_15_02210,18.45606252,-34.25697331,190235.4139,190235.4139,190235.4139,190235.4139,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2403,16357,W59B_09_02403,18.44089908,-34.25149622,62844.25214,62844.25214,62844.25214,62844.25214,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,0,1,1,1,1,1,1,0,0,0,Southern,800.0000185,40000.00185
2405,16358,W59B_09_02405,18.44524143,-34.25151594,107508.8057,107508.8057,107508.8057,107508.8057,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2408,17576,W59B_10_02408,18.45175497,-34.25154525,0,0,417907.6346,417907.6346,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,1,0,1,1,1,1,0,Southern,800.0000185,40000.00185
2544,16353,W59B_09_02544,18.44309401,-34.24790029,17123.71857,17123.71857,17123.71857,17126.50528,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,0,0,0,1,0,0,1,0,1,1,Southern,799.9999883,39999.99883
